bhcmis_id,organization,site_name,city,county,type,latitude,longitude,total_patients,uninsured,medicaid,pct_uninsured,pct_medicaid
107660,CENTRAL CITY CONCERN,LETTY OWINGS CENTER,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.52608019,-122.63949142,11360.0,536.0,8679.0,0.047183098591549295,0.7639964788732394
105600,MOSAIC COMMUNITY HEALTH,Redmond High School-Based Health Center,Redmond,Deschutes,Federally Qualified Health Center (FQHC),44.27097833,-121.19161052,28112.0,1349.0,14734.0,0.047986624928856005,0.5241178144564599
1010810,BENTON COUNTY,Boys and Girls Club of Corvallis,Corvallis,Benton,Federally Qualified Health Center (FQHC),44.58785614,-123.26473882,10514.0,1636.0,5784.0,0.15560205440365227,0.5501236446642572
107660,CENTRAL CITY CONCERN,16 x Burnside Recovery Center,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.52276402,-122.64924209,11360.0,536.0,8679.0,0.047183098591549295,0.7639964788732394
107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",NARA Dental Clinic,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.51770315,-122.53272291,5025.0,493.0,3097.0,0.09810945273631841,0.616318407960199
10E00062,NEHALEM BAY HEALTH CENTER AND PHARMACY,Nehalem Bay Health Center & Pharmacy,Wheeler,Tillamook,Federally Qualified Health Center (FQHC),45.68918566,-123.8827782,1424.0,,428.0,0.0,0.300561797752809
107660,CENTRAL CITY CONCERN,Imani Center (Karibu),Portland,Multnomah,Federally Qualified Health Center (FQHC),45.49915065,-122.64495349,11360.0,536.0,8679.0,0.047183098591549295,0.7639964788732394
101630,VALLEY FAMILY HEALTH CARE INC,Nyssa Dental Clinic,Nyssa,Malheur,Federally Qualified Health Center (FQHC),43.87756398,-117.00046003,23306.0,3289.0,10450.0,0.14112245773620527,0.4483823908006522
1010810,BENTON COUNTY,MONROE HEALTH CENTER,Monroe,Benton,Federally Qualified Health Center (FQHC),44.31119944,-123.29839635,10514.0,1636.0,5784.0,0.15560205440365227,0.5501236446642572
10E01418,CASCADIA HEALTH,Cascadia Garlington Health Center,Portland,Multnomah,Federally Qualified Health Center (FQHC) Look-Alike,45.54499765,-122.66127063,,,,,
10E01202,WINDING WATERS MEDICAL CLINIC,Winding Waters Hearts for Health,Enterprise,Wallowa,Federally Qualified Health Center (FQHC),45.43123464,-117.28548103,5705.0,378.0,1897.0,0.06625766871165645,0.3325153374233129
102360,COUNTY OF TILLAMOOK,TILLAMOOK COUNTY HEALTH DEPARTMENT,Tillamook,Tillamook,Federally Qualified Health Center (FQHC),45.45241777,-123.84289752,6021.0,1361.0,2332.0,0.22604218568344128,0.3873110778940375
1018560,LA PINE COMMUNITY HEALTH CENTER,LaPine Community Health Center,La Pine,Deschutes,Federally Qualified Health Center (FQHC),43.67504735,-121.50353567,6611.0,245.0,2533.0,0.03705944637725004,0.38314929662683406
107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",OLD - NARA Adult Mental Health and Housing Services,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.5174509,-122.69127323,5025.0,493.0,3097.0,0.09810945273631841,0.616318407960199
10E00506,NEIGHBORHOOD HEALTH CENTER,NHC Mobile Medical,Portland,Washington,Federally Qualified Health Center (FQHC),45.42617549,-122.75263974,19718.0,1522.0,14066.0,0.07718835581701998,0.713358352774115
10E01385,CASCADE AIDS PROJECT,Prism Health,Portland,Multnomah,Federally Qualified Health Center (FQHC) Look-Alike,45.54469041,-122.66697585,,,,,
102970,ROGUE COMMUNITY HEALTH,White City Health Center,White City,Jackson,Federally Qualified Health Center (FQHC),42.43824306,-122.8354625,14401.0,767.0,8741.0,0.05326019026456496,0.6069717380737448
107660,CENTRAL CITY CONCERN,16 x BRC Primary Care Clinic,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.52276402,-122.64924209,11360.0,536.0,8679.0,0.047183098591549295,0.7639964788732394
1014200,COUNTY OF LINCOLN,Newport Community Shelter and Resource Center,Newport,Lincoln,Federally Qualified Health Center (FQHC),44.63386818,-124.05688827,3163.0,288.0,1476.0,0.09105279797660448,0.466645589630098
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica Mobile,Medford,Jackson,Federally Qualified Health Center (FQHC),42.36093328,-122.87807635,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
10E00492,THE WALLACE MEDICAL CONCERN,Wallace Mobile Van,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.51937706,-122.47104208,7140.0,879.0,5622.0,0.123109243697479,0.7873949579831933
10E00506,NEIGHBORHOOD HEALTH CENTER,NHC Mobile Dental,Portland,Washington,Federally Qualified Health Center (FQHC),45.42617549,-122.75263974,19718.0,1522.0,14066.0,0.07718835581701998,0.713358352774115
100150,"SISKIYOU COMMUNITY HEALTH CENTER, INC.",EVERGREEN ELEMENTARY SCHOOL BASED HEALTH CENTER,Cave Junction,Josephine,Federally Qualified Health Center (FQHC),42.169873,-123.652975,21248.0,1255.0,11291.0,0.05906438253012048,0.5313911897590361
101120,Multnomah County,Multnomah Mobile Clinic,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.51125579,-122.46794773,54930.0,3549.0,44369.0,0.06460950300382305,0.807737119970872
1014200,COUNTY OF LINCOLN,TAFT SCHOOL BASED HEALTH CENTER,Lincoln City,Lincoln,Federally Qualified Health Center (FQHC),44.93782,-124.01499996,3163.0,288.0,1476.0,0.09105279797660448,0.466645589630098
105600,MOSAIC COMMUNITY HEALTH,Bend High School-Based Health Center,Bend,Deschutes,Federally Qualified Health Center (FQHC),44.05126396,-121.29725754,28112.0,1349.0,14734.0,0.047986624928856005,0.5241178144564599
10E00506,NEIGHBORHOOD HEALTH CENTER,NHC Oregon City Dental Clinic,Oregon City,Clackamas,Federally Qualified Health Center (FQHC),45.32947813,-122.5727615,19718.0,1522.0,14066.0,0.07718835581701998,0.713358352774115
101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,VIRGINIA GARCIA MEMORIAL HEALTH CENTER- HILLSBORO,Hillsboro,Washington,Federally Qualified Health Center (FQHC),45.5209275,-122.97690041,48320.0,5313.0,33973.0,0.10995447019867549,0.7030836092715231
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica at The OHRA Center,Ashland,Jackson,Federally Qualified Health Center (FQHC),42.1850885,-122.66942722,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
101310,COUNTY OF CLACKAMAS,Lake Road Health Center,Milwaukie,Clackamas,Federally Qualified Health Center (FQHC),45.42610056,-122.59451849,17686.0,1210.0,13255.0,0.0684156960307588,0.7494628519733122
106290,OUTSIDE IN,OUTSIDE IN,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.51758283,-122.68656268,5847.0,922.0,3653.0,0.1576877030956046,0.6247648366683769
107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",Oyate Behavioral Health,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.5184149,-122.69196197,5025.0,493.0,3097.0,0.09810945273631841,0.616318407960199
102910,"KLAMATH HEALTH PARTNERSHIP, INC.",Klamath Open Door Family Practice,Klamath Falls,Klamath,Federally Qualified Health Center (FQHC),42.2155581,-121.76602335,9182.0,1116.0,4014.0,0.12154214768024396,0.43715966020474845
107660,CENTRAL CITY CONCERN,Old Town Recovery Center,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.52342942,-122.67779664,11360.0,536.0,8679.0,0.047183098591549295,0.7639964788732394
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School-Based Health Center at Hanby Middle School,Gold Hill,Jackson,Federally Qualified Health Center (FQHC),42.43462115,-123.0552008,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
107920,LANE COUNTY OREGON,Lane County Treatment Center,Eugene,Lane,Federally Qualified Health Center (FQHC),44.04740669,-123.0994119,28346.0,6323.0,16750.0,0.2230649827136104,0.5909122980314683
107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",RiverHouse,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.50621068,-122.66407932,5025.0,493.0,3097.0,0.09810945273631841,0.616318407960199
1014200,COUNTY OF LINCOLN,Coastal Healthcare - Waldport,Waldport,Lincoln,Federally Qualified Health Center (FQHC),44.42928608,-124.06185798,3163.0,288.0,1476.0,0.09105279797660448,0.466645589630098
107660,CENTRAL CITY CONCERN,CENTRAL CITY CONCERN,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.52551152,-122.67197071,11360.0,536.0,8679.0,0.047183098591549295,0.7639964788732394
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School Based Health Center at Armadillo Community Charter School,Phoenix,Jackson,Federally Qualified Health Center (FQHC),42.27252801,-122.81780862,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
101630,VALLEY FAMILY HEALTH CARE INC,Valley Family Health Care - Nyssa Medical Clinic,Nyssa,Malheur,Federally Qualified Health Center (FQHC),43.87608411,-116.99659405,23306.0,3289.0,10450.0,0.14112245773620527,0.4483823908006522
100700,WHITE BIRD CLINIC,"Homeless Outreach, Case Management and Advocacy",Eugene,Lane,Federally Qualified Health Center (FQHC),44.04679934,-123.08777514,4902.0,1202.0,3261.0,0.2452060383516932,0.6652386780905752
10E01202,WINDING WATERS MEDICAL CLINIC,Winding Waters Wallowa,Wallowa,Wallowa,Federally Qualified Health Center (FQHC),45.57546712,-117.53663495,5705.0,378.0,1897.0,0.06625766871165645,0.3325153374233129
102360,COUNTY OF TILLAMOOK,Tillamook County Community Health Center - Main Street Health Center,Tillamook,Tillamook,Federally Qualified Health Center (FQHC),45.45242338,-123.84398742,6021.0,1361.0,2332.0,0.22604218568344128,0.3873110778940375
10E00467,ADAPT,Central Curry School District-Gold Beach High School,Gold Beach,Curry,Federally Qualified Health Center (FQHC),42.40802462,-124.42164405,7895.0,100.0,4540.0,0.01266624445851805,0.5750474984167194
102970,ROGUE COMMUNITY HEALTH,Eagle Point School Health Center,Eagle Point,Jackson,Federally Qualified Health Center (FQHC),42.47525649,-122.80176708,14401.0,767.0,8741.0,0.05326019026456496,0.6069717380737448
10E00507,OREGON HEALTH & SCIENCE UNIVERSITY,OHSU Richmond Immediate Care,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.5049992,-122.61834623,12932.0,235.0,5412.0,0.018171976492421898,0.4184967522424992
105600,MOSAIC COMMUNITY HEALTH,Madras High School-Based Health Center,Madras,Jefferson,Federally Qualified Health Center (FQHC),44.63005001,-121.12289995,28112.0,1349.0,14734.0,0.047986624928856005,0.5241178144564599
105600,MOSAIC COMMUNITY HEALTH,Harriman Health Clinic,Bend,Deschutes,Federally Qualified Health Center (FQHC),44.06113261,-121.30966736,28112.0,1349.0,14734.0,0.047986624928856005,0.5241178144564599
107200,COLUMBIA RIVER HEALTH,Columbia River Pharmacy,Boardman,Morrow,Federally Qualified Health Center (FQHC),45.83179896,-119.70132926,3593.0,267.0,1467.0,0.07431116059003619,0.4082939048149179
107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",NARA NW Outpatient Treatment & Recovery Services Program,Gresham,Multnomah,Federally Qualified Health Center (FQHC),45.50488383,-122.43456713,5025.0,493.0,3097.0,0.09810945273631841,0.616318407960199
102910,"KLAMATH HEALTH PARTNERSHIP, INC.",Klamath Health Partnership Admin,Klamath Falls,Klamath,Federally Qualified Health Center (FQHC),42.21585997,-121.76655996,9182.0,1116.0,4014.0,0.12154214768024396,0.43715966020474845
102970,ROGUE COMMUNITY HEALTH,Administration,Medford,Jackson,Federally Qualified Health Center (FQHC),42.33792437,-122.89530418,14401.0,767.0,8741.0,0.05326019026456496,0.6069717380737448
101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,VIRGINIA GARCIA MOBILE VAN,Cornelius,Washington,Federally Qualified Health Center (FQHC),45.5206882,-123.05763582,48320.0,5313.0,33973.0,0.10995447019867549,0.7030836092715231
101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,VIRGINIA GARCIA MEMORIAL HEALTH CENTER- NEWBERG DENTAL,Newberg,Yamhill,Federally Qualified Health Center (FQHC),45.30122747,-122.95663397,48320.0,5313.0,33973.0,0.10995447019867549,0.7030836092715231
103100,"UMPQUA COMMUNITY HEALTH CENTER, INC.",Aviva Outpatient Behavioral Health,Roseburg,Douglas,Federally Qualified Health Center (FQHC),43.23579078,-123.38168531,18139.0,922.0,9987.0,0.05082970395280886,0.5505816197144274
105600,MOSAIC COMMUNITY HEALTH,Mosaic Pharmacy - Bend,Bend,Deschutes,Federally Qualified Health Center (FQHC),44.07056937,-121.26115752,28112.0,1349.0,14734.0,0.047986624928856005,0.5241178144564599
10E01202,WINDING WATERS MEDICAL CLINIC,Winding Waters Open Space,Enterprise,Wallowa,Federally Qualified Health Center (FQHC),45.43139952,-117.27893176,5705.0,378.0,1897.0,0.06625766871165645,0.3325153374233129
101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,Virginia Garcia Memorial Health Center  -  Center for Addition Triage and Treatment,Hillsboro,Washington,Federally Qualified Health Center (FQHC),45.52842486,-122.93069534,48320.0,5313.0,33973.0,0.10995447019867549,0.7030836092715231
107920,LANE COUNTY OREGON,Delta Oaks Clinic,Eugene,Lane,Federally Qualified Health Center (FQHC),44.0923443,-123.09605394,28346.0,6323.0,16750.0,0.2230649827136104,0.5909122980314683
106290,OUTSIDE IN,Milwaukie High School Health and Wellness Center,Portland,Clackamas,Federally Qualified Health Center (FQHC),45.44060347,-122.63759527,5847.0,922.0,3653.0,0.1576877030956046,0.6247648366683769
101120,Multnomah County,Centennial High School Student Health Center,Gresham,Multnomah,Federally Qualified Health Center (FQHC),45.49632461,-122.47558322,54930.0,3549.0,44369.0,0.06460950300382305,0.807737119970872
105600,MOSAIC COMMUNITY HEALTH,Sisters School-Based Health Center,Sisters,Deschutes,Federally Qualified Health Center (FQHC),44.29566693,-121.57359321,28112.0,1349.0,14734.0,0.047986624928856005,0.5241178144564599
101120,Multnomah County,Jefferson High School Student Health Center,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.56044596,-122.67208471,54930.0,3549.0,44369.0,0.06460950300382305,0.807737119970872
107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",NARA Outpatient Treatment and Recovery Services Program,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.51725652,-122.69088314,5025.0,493.0,3097.0,0.09810945273631841,0.616318407960199
106290,OUTSIDE IN,Outside In East Side,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.52192918,-122.49697786,5847.0,922.0,3653.0,0.1576877030956046,0.6247648366683769
101120,Multnomah County,Mid County Health Center,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.50353845,-122.53225972,54930.0,3549.0,44369.0,0.06460950300382305,0.807737119970872
100150,"SISKIYOU COMMUNITY HEALTH CENTER, INC.",SISKIYOU COMMUNITY HEALTH CENTER - CAVE JUNCTION,Cave Junction,Josephine,Federally Qualified Health Center (FQHC),42.174893,-123.64471899,21248.0,1255.0,11291.0,0.05906438253012048,0.5313911897590361
10E00467,ADAPT,FQHC - Madrone,Roseburg,Douglas,Federally Qualified Health Center (FQHC),43.2134769,-123.35090923,7895.0,100.0,4540.0,0.01266624445851805,0.5750474984167194
107660,CENTRAL CITY CONCERN,The Biltmore Building,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.52543902,-122.67582186,11360.0,536.0,8679.0,0.047183098591549295,0.7639964788732394
101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,VIRGINIA GARCIA MEMORIAL HEALTH CENTER- NEWBERG,Newberg,Yamhill,Federally Qualified Health Center (FQHC),45.30122747,-122.95663397,48320.0,5313.0,33973.0,0.10995447019867549,0.7030836092715231
