site_id,bhcmis_id,organization,site_name,address,city,county,type,status,latitude,longitude,source_date
BPS-H80-000732,102080,ONE COMMUNITY HEALTH,One Community Health - Hood River,849 Pacific Ave,Hood River,Hood River,Federally Qualified Health Center (FQHC),Active,45.69615358,-121.51938091,2026-09-14
BPS-H80-000776,102910,"KLAMATH HEALTH PARTNERSHIP, INC.",CHILOQUIN OPEN DOOR FAMILY PRAC.,Wasco St,Chiloquin,Klamath,Federally Qualified Health Center (FQHC),Active,42.47633756,-121.40882473,2026-09-14
BPS-H80-000895,101120,Multnomah County,Roosevelt High School Student Health Center,6941 N Central St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.58989661,-122.73870843,2026-09-14
BPS-H80-000991,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,VIRGINIA GARCIA MEMORIAL HEALTH CENTER- CORNELIUS,1151 N Adair St,Cornelius,Washington,Federally Qualified Health Center (FQHC),Active,45.5206882,-123.05763582,2026-09-14
BPS-H80-001124,107660,CENTRAL CITY CONCERN,Health Services Leadership Office,726 W Burnside St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.52285735,-122.67801515,2026-09-14
BPS-H80-001205,101030,YAKIMA VALLEY FARM WORKERS CLINIC,SALUD MEDICAL CENTER,1175 Mount Hood Ave,Woodburn,Marion,Federally Qualified Health Center (FQHC),Active,45.15247702,-122.84129572,2026-09-14
BPS-H80-001238,100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,Phoenix Health Center--La Clinica,3617 S Pacific Hwy,Medford,Jackson,Federally Qualified Health Center (FQHC),Active,42.28740555,-122.83193338,2026-09-14
BPS-H80-001444,101120,Multnomah County,Parkrose High School Student Health Center,12003 NE Shaver St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.55313048,-122.54015053,2026-09-14
BPS-H80-001584,101120,Multnomah County,Jefferson High School Student Health Center,5210 N Kerby Ave,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.56044596,-122.67208471,2026-09-14
BPS-H80-001587,107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",NARA Outpatient Treatment and Recovery Services Program,1631 SW Columbia St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.51725652,-122.69088297,2026-09-14
BPS-H80-001601,101120,Multnomah County,Mid County Health Center,12710 SE Division St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.50353845,-122.53225972,2026-09-14
BPS-H80-001769,100150,"SISKIYOU COMMUNITY HEALTH CENTER, INC.",SISKIYOU COMMUNITY HEALTH CENTER - CAVE JUNCTION,25647 Redwood Hwy,Cave Junction,Josephine,Federally Qualified Health Center (FQHC),Active,42.174893,-123.64471899,2026-09-14
BPS-H80-001784,107660,CENTRAL CITY CONCERN,The Biltmore Building,523 NW Everett St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.52543902,-122.67582186,2026-09-14
BPS-H80-001904,101120,Multnomah County,North Portland Health Center,9000 N Lombard St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.59233901,-122.75731081,2026-09-14
BPS-H80-002339,107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",NARA Residential Treatment Center,17645 NW Saint Helens Rd,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.65014648,-122.85033753,2026-09-14
BPS-H80-002638,101310,COUNTY OF CLACKAMAS,Oregon City High School SBHC,19761 Beavercreek Rd,Oregon City,Clackamas,Federally Qualified Health Center (FQHC),Active,45.32024961,-122.56081176,2026-09-14
BPS-H80-002782,102970,ROGUE COMMUNITY HEALTH,Ashland Health Center,99 Central Ave,Ashland,Jackson,Federally Qualified Health Center (FQHC),Active,42.20025266,-122.71497482,2026-09-14
BPS-H80-002801,100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,Central Point Health Center--La Clinica,4940 Hamrick Rd,Central Point,Jackson,Federally Qualified Health Center (FQHC),Active,42.38756477,-122.89141405,2026-09-14
BPS-H80-002879,101630,VALLEY FAMILY HEALTH CARE INC,Valley Family Health Care - Vale Medical Clinic,789 Washington St W,Vale,Malheur,Federally Qualified Health Center (FQHC),Active,43.98237934,-117.24761662,2026-09-14
BPS-H80-002907,100700,WHITE BIRD CLINIC,WHITE BIRD CLINIC,341 E 12th Ave,Eugene,Lane,Federally Qualified Health Center (FQHC),Active,44.04681171,-123.08756643,2026-09-14
BPS-H80-002927,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,VIRGINIA GARCIA MEMORIAL HEALTH CENTER- CORNELIUS DENTAL,44 N 11th Ave,Cornelius,Washington,Federally Qualified Health Center (FQHC),Active,45.52028901,-123.05800999,2026-09-14
BPS-H80-003055,100760,"NORTHWEST HUMAN SERVICES, INC.","NORTHWEST HUMAN SERVICES, INC.",681 Center St NE,Salem,Marion,Federally Qualified Health Center (FQHC),Active,44.94239568,-123.03247092,2026-09-14
BPS-H80-003103,101120,Multnomah County,East County Health Center,600 NE 8th St FL 3,Gresham,Multnomah,Federally Qualified Health Center (FQHC),Active,45.50265449,-122.42499651,2026-09-14
BPS-H80-003176,101120,Multnomah County,Northeast Health Center,5329 NE M L King Blvd,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.56221931,-122.66204092,2026-09-14
BPS-H80-003317,100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,West Medford Health Center--La Clinica,1307 W Main St,Medford,Jackson,Federally Qualified Health Center (FQHC),Active,42.32347364,-122.88689009,2026-09-14
BPS-H80-003610,107660,CENTRAL CITY CONCERN,LETTY OWINGS CENTER,2545 NE Flanders St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.52608019,-122.63949142,2026-09-14
BPS-H80-003620,100700,WHITE BIRD CLINIC,WHITE BIRD MEDICAL CLINIC,1400 Mill St,Eugene,Lane,Federally Qualified Health Center (FQHC),Active,44.04419643,-123.08700258,2026-09-14
BPS-H80-003649,100760,"NORTHWEST HUMAN SERVICES, INC.",TOTAL HEALTH COMMUNITY CLINIC,180 Atwater St N,Monmouth,Polk,Federally Qualified Health Center (FQHC),Active,44.84922747,-123.2238327,2026-09-14
BPS-H80-003792,102400,ASHER COMMUNITY HEALTH CENTER,ASHER CLINIC,712 Jay St,Fossil,Wheeler,Federally Qualified Health Center (FQHC),Active,44.99827707,-120.21214993,2026-09-14
BPS-H80-003878,107660,CENTRAL CITY CONCERN,Golden West Clinic,709 NW Everett St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.52527239,-122.67797442,2026-09-14
BPS-H80-003934,1014200,COUNTY OF LINCOLN,Coastal Healthcare - Newport,36 SW Nye St,Newport,Lincoln,Federally Qualified Health Center (FQHC),Active,44.63603117,-124.05582905,2026-09-14
BPS-H80-004003,103100,"UMPQUA COMMUNITY HEALTH CENTER, INC.",ROSEBURG HIGH SCHOOL,400 W Harvard Ave,Roseburg,Douglas,Federally Qualified Health Center (FQHC),Active,43.21568,-123.3533,2026-09-14
BPS-H80-004159,1010810,BENTON COUNTY,East Linn Health Center,"100 Mullins Dr, Suite A 1",Lebanon,Linn,Federally Qualified Health Center (FQHC),Active,44.54920245,-122.90933841,2026-09-14
BPS-H80-004174,101630,VALLEY FAMILY HEALTH CARE INC,Nyssa Dental Clinic,17 N 6th St,Nyssa,Malheur,Federally Qualified Health Center (FQHC),Active,43.87750606,-117.00042181,2026-09-14
BPS-H80-004201,1010860,"WATERFALL CLINIC, INCORPORATED","WATERFALL CLINIC, INC.","1890 Waite St, Suite 1",North Bend,Coos,Federally Qualified Health Center (FQHC),Active,43.38913397,-124.23759447,2026-09-14
BPS-H80-004239,100760,"NORTHWEST HUMAN SERVICES, INC.",WEST SALEM CLINIC,1233 Edgewater St NW,Salem,Polk,Federally Qualified Health Center (FQHC),Active,44.94022628,-123.05987455,2026-09-14
BPS-H80-004296,102360,COUNTY OF TILLAMOOK,TILLAMOOK COUNTY HEALTH DEPARTMENT,801 Pacific Ave,Tillamook,Tillamook,Federally Qualified Health Center (FQHC),Active,45.45241777,-123.84289752,2026-09-14
BPS-H80-004504,102970,ROGUE COMMUNITY HEALTH,White City Health Center,8385 Division Rd,White City,Jackson,Federally Qualified Health Center (FQHC),Active,42.43824306,-122.8354625,2026-09-14
BPS-H80-004523,100150,"SISKIYOU COMMUNITY HEALTH CENTER, INC.",LORNA BYRNE SCHOOL BASED HEALTH CENTER,101 S Junction Ave,Cave Junction,Josephine,Federally Qualified Health Center (FQHC),Active,42.16716925,-123.6437956,2026-09-14
BPS-H80-004780,101030,YAKIMA VALLEY FARM WORKERS CLINIC,Lancaster Family Health Center at Beverly,"3896 Beverly Ave NE, Suite 22",Salem,Marion,Federally Qualified Health Center (FQHC),Active,44.96084634,-122.98487043,2026-09-14
BPS-H80-004801,100150,"SISKIYOU COMMUNITY HEALTH CENTER, INC.",EVERGREEN ELEMENTARY SCHOOL BASED HEALTH CENTER,520 W River St,Cave Junction,Josephine,Federally Qualified Health Center (FQHC),Active,42.169873,-123.652975,2026-09-14
BPS-H80-004973,102970,ROGUE COMMUNITY HEALTH,Medford Health Center,19 Myrtle St,Medford,Jackson,Federally Qualified Health Center (FQHC),Active,42.32718581,-122.86263202,2026-09-14
BPS-H80-005004,100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School-Based Health Center at Washington Elementary School,610 S Peach St,Medford,Jackson,Federally Qualified Health Center (FQHC),Active,42.31699334,-122.88312812,2026-09-14
BPS-H80-005012,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,VIRGINIA GARCIA MEMORIAL HEALTH CENTER- HILLSBORO,226 SE 8th Ave,Hillsboro,Washington,Federally Qualified Health Center (FQHC),Active,45.5209275,-122.97690041,2026-09-14
BPS-H80-005048,107920,LANE COUNTY OREGON,Springfield Schools Health Center,1050 10th St,Springfield,Lane,Federally Qualified Health Center (FQHC),Active,44.05420886,-123.01373468,2026-09-14
BPS-H80-005130,106290,OUTSIDE IN,OUTSIDE IN,1132 SW 13th Ave,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.51758283,-122.68656268,2026-09-14
BPS-H80-005136,107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",Oyate Behavioral Health,1776 SW Madison St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.5184149,-122.69196197,2026-09-14
BPS-H80-005244,102910,"KLAMATH HEALTH PARTNERSHIP, INC.",Klamath Open Door Family Practice,2074 S 6th St,Klamath Falls,Klamath,Federally Qualified Health Center (FQHC),Active,42.2155581,-121.76602335,2026-09-14
BPS-H80-005297,101310,COUNTY OF CLACKAMAS,Clackamas Health Centers Administration,"2051 Kaen Rd, #367",Oregon City,Clackamas,Federally Qualified Health Center (FQHC),Active,45.33292724,-122.59876007,2026-09-14
BPS-H80-005418,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,VIRGINA GARCIA MEMORIAL HEALTH CENTER- HILLSBORO DENTAL,730 SE Oak St,Hillsboro,Washington,Federally Qualified Health Center (FQHC),Active,45.51834479,-122.97874468,2026-09-14
BPS-H80-005602,100760,"NORTHWEST HUMAN SERVICES, INC.",NORTHWEST HUMAN SERVICES-HOST Youth & Family Program,1143 Liberty St NE,Salem,Marion,Federally Qualified Health Center (FQHC),Active,44.95125912,-123.03451007,2026-09-14
BPS-H80-005616,101120,Multnomah County,Southeast Health Center,3653 SE 34th Ave,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.49604436,-122.62977797,2026-09-14
BPS-H80-005940,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,VIRGINIA GARCIA MOBILE VAN,1151 N Adair St,Cornelius,Washington,Federally Qualified Health Center (FQHC),Active,45.5206882,-123.05763582,2026-09-14
BPS-H80-006146,1010810,BENTON COUNTY,LINCOLN HEALTH CENTER,121 SE Viewmont Ave,Corvallis,Benton,Federally Qualified Health Center (FQHC),Active,44.54441039,-123.26556192,2026-09-14
BPS-H80-006182,1014200,COUNTY OF LINCOLN,TOLEDO SCHOOL BASED HEALTH CENTER,1800 NE Sturdevant Rd,Toledo,Lincoln,Federally Qualified Health Center (FQHC),Active,44.6336,-123.92189998,2026-09-14
BPS-H80-006810,102400,ASHER COMMUNITY HEALTH CENTER,MITCHELL SATELLITE CLINIC,340 SE High St,Mitchell,Wheeler,Federally Qualified Health Center (FQHC),Active,44.56547069,-120.1539623,2026-09-14
BPS-H80-007034,103100,"UMPQUA COMMUNITY HEALTH CENTER, INC.",GLIDE CLINIC,20170 N Umpqua Hwy,Glide,Douglas,Federally Qualified Health Center (FQHC),Active,43.30783026,-123.07778533,2026-09-14
BPS-H80-007052,1010810,BENTON COUNTY,MONROE HEALTH CENTER,610 Dragon Dr,Monroe,Benton,Federally Qualified Health Center (FQHC),Active,44.31119944,-123.29839635,2026-09-14
BPS-H80-007096,1010860,"WATERFALL CLINIC, INCORPORATED",Waterfall School Based Health Center,826 S 11th St,Coos Bay,Coos,Federally Qualified Health Center (FQHC),Active,43.360858,-124.22280812,2026-09-14
BPS-H80-007182,1010810,BENTON COUNTY,CHILDREN'S FARM HOME,4455 NE Highway 20,Corvallis,Benton,Federally Qualified Health Center (FQHC),Active,44.60791344,-123.21665218,2026-09-14
BPS-H80-007282,1014200,COUNTY OF LINCOLN,TAFT SCHOOL BASED HEALTH CENTER,3780 SE Spy Glass Ridge Dr,Lincoln City,Lincoln,Federally Qualified Health Center (FQHC),Active,44.93782,-124.01499996,2026-09-14
BPS-H80-007914,100150,"SISKIYOU COMMUNITY HEALTH CENTER, INC.",ILLINOIS VALLEY HIGH SCHOOL BASED HEALTH CENTER,625 E River St,Cave Junction,Josephine,Federally Qualified Health Center (FQHC),Active,42.167285,-123.63179401,2026-09-14
BPS-H80-007926,103100,"UMPQUA COMMUNITY HEALTH CENTER, INC.",Myrtle Creek Clinic,790 S Main St,Myrtle Creek,Douglas,Federally Qualified Health Center (FQHC),Active,43.01666784,-123.2938977,2026-09-14
BPS-H80-008109,100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,Birch Grove Health Center--La Clinica,910 S Central Ave,Medford,Jackson,Federally Qualified Health Center (FQHC),Active,42.31848389,-122.86582058,2026-09-14
BPS-H80-008162,1018560,LA PINE COMMUNITY HEALTH CENTER,LaPine Community Health Center,51600 Huntington Rd,La Pine,Deschutes,Federally Qualified Health Center (FQHC),Active,43.67504693,-121.50353282,2026-09-14
BPS-H80-008200,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,Forest Grove School-Based Health Center,1715 Nichols Ln,Forest Grove,Washington,Federally Qualified Health Center (FQHC),Active,45.53385189,-123.1207586,2026-09-14
BPS-H80-008455,101030,YAKIMA VALLEY FARM WORKERS CLINIC,Mirasol Family Health Center,589 NW 11th St,Hermiston,Umatilla,Federally Qualified Health Center (FQHC),Active,45.8452427,-119.31178827,2026-09-14
BPS-H80-008737,101310,COUNTY OF CLACKAMAS,Gladstone Health Clinic,18911 Portland Ave,Gladstone,Clackamas,Federally Qualified Health Center (FQHC),Active,45.38446253,-122.59821365,2026-09-14
BPS-H80-008871,107660,CENTRAL CITY CONCERN,Hooper Detoxification and Stabilization Center,10 N Weidler St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.53435586,-122.66708431,2026-09-14
BPS-H80-008886,103100,"UMPQUA COMMUNITY HEALTH CENTER, INC.",Umpqua Community Health Center,150 NE Kenneth Ford Dr,Roseburg,Douglas,Federally Qualified Health Center (FQHC),Active,43.26245915,-123.35030783,2026-09-14
BPS-H80-008899,107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",NARA Adult Mental Health and Housing Services,1438 SE Division St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.50468778,-122.65101545,2026-09-14
BPS-H80-009489,1010810,BENTON COUNTY,Boys and Girls Club of Corvallis,1112 NW Circle Blvd,Corvallis,Benton,Federally Qualified Health Center (FQHC),Active,44.58786687,-123.26476757,2026-09-14
BPS-H80-009576,100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School-Based Health Center at Jewett Elementary School,1001 Manzanita St,Central Point,Jackson,Federally Qualified Health Center (FQHC),Active,42.37959404,-122.90897447,2026-09-14
BPS-H80-010047,107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",OLD - NARA Adult Mental Health and Housing Services,1310 SW 17th Ave,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.51745199,-122.69127306,2026-09-14
BPS-H80-010088,107920,LANE COUNTY OREGON,Riverstone Clinic,2073 Olympic St,Springfield,Lane,Federally Qualified Health Center (FQHC),Active,44.05928846,-122.99471086,2026-09-14
BPS-H80-010133,107200,COLUMBIA RIVER HEALTH,Columbia River Health,450 Tatone St,Boardman,Morrow,Federally Qualified Health Center (FQHC),Active,45.82920091,-119.70385489,2026-09-14
BPS-H80-010134,101630,VALLEY FAMILY HEALTH CARE INC,"Ontario Medical, Pharmacy, and Dental Clinic Building",2327 SW 4th Ave,Ontario,Malheur,Federally Qualified Health Center (FQHC),Active,44.02533216,-116.99724037,2026-09-14
BPS-H80-010141,100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,East Medford Dental Clinic--La Clinica,1113 Progress Dr,Medford,Jackson,Federally Qualified Health Center (FQHC),Active,42.34583739,-122.87269307,2026-09-14
BPS-H80-010144,102080,ONE COMMUNITY HEALTH,One Community Health -- The Dalles,1040 Webber St,The Dalles,Wasco,Federally Qualified Health Center (FQHC),Active,45.60602218,-121.20693733,2026-09-14
BPS-H80-010293,101120,Multnomah County,David Douglas High School Student Health Center,1034 SE 130th Ave,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.51573814,-122.52841562,2026-09-14
BPS-H80-010330,100150,"SISKIYOU COMMUNITY HEALTH CENTER, INC.",SISKIYOU COMMUNITY HEALTH CENTER,1701 NW Hawthorne Ave,Grants Pass,Josephine,Federally Qualified Health Center (FQHC),Active,42.459058,-123.32705903,2026-09-14
BPS-H80-010697,106290,OUTSIDE IN,Milwaukie High School Health and Wellness Center,2301 SE Willard St,Portland,Clackamas,Federally Qualified Health Center (FQHC),Active,45.44060347,-122.63759527,2026-09-14
BPS-H80-010737,102970,ROGUE COMMUNITY HEALTH,Butte Falls Health Center,722 Laurel Ave,Butte Falls,Jackson,Federally Qualified Health Center (FQHC),Active,42.54085961,-122.564636,2026-09-14
BPS-H80-010936,107660,CENTRAL CITY CONCERN,Old Town Recovery Center,33 NW Broadway,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.52342954,-122.67779647,2026-09-14
BPS-H80-010937,105600,MOSAIC COMMUNITY HEALTH,Crook Kids School-Based Health Center,757 E 1st St,Prineville,Crook,Federally Qualified Health Center (FQHC),Active,44.30141051,-120.8395747,2026-09-14
BPS-H80-010992,105600,MOSAIC COMMUNITY HEALTH,Harriman Health Clinic,1128 NW Harriman St,Bend,Deschutes,Federally Qualified Health Center (FQHC),Active,44.06113185,-121.30966594,2026-09-14
BPS-H80-011054,1014200,COUNTY OF LINCOLN,NEWPORT SCHOOL BASED HEALTH CENTER,322 NE Eads St,Newport,Lincoln,Federally Qualified Health Center (FQHC),Active,44.63888998,-124.04600001,2026-09-14
BPS-H80-011058,101120,Multnomah County,Franklin High School Student Health Center,5405 SE Woodward St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.50227999,-122.60689999,2026-09-14
BPS-H80-011185,107920,LANE COUNTY OREGON,Charnelton Community Clinic,"151 W 7th Ave, Suite 100",Eugene,Lane,Federally Qualified Health Center (FQHC),Active,44.05232239,-123.09537425,2026-09-14
BPS-H80-011213,102970,ROGUE COMMUNITY HEALTH,Eagle Point School Health Center,203 N Platt Ave,Eagle Point,Jackson,Federally Qualified Health Center (FQHC),Active,42.47526814,-122.80177898,2026-09-14
BPS-H80-011692,10E00507,OREGON HEALTH & SCIENCE UNIVERSITY,OHSU Family Medicine at Richmond,3930 SE Division St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.50457332,-122.6223247,2026-09-14
BPS-H80-011774,10E00492,THE WALLACE MEDICAL CONCERN,Wallace Mobile Van,"18633 SE Stark St, Suite 401",Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.51937836,-122.47104124,2026-09-14
BPS-H80-011848,10E00467,ADAPT,FQHC - Main Winston,671 SW Main St,Winston,Douglas,Federally Qualified Health Center (FQHC),Active,43.11463787,-123.4167246,2026-09-14
BPS-H80-012012,100700,WHITE BIRD CLINIC,Chrysalis Behavioral Health,350 E 11th Ave,Eugene,Lane,Federally Qualified Health Center (FQHC),Active,44.0475191,-123.08756031,2026-09-14
BPS-H80-012022,107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",NARA Wellness Center,12360 E Burnside St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.52200873,-122.53557242,2026-09-14
BPS-H80-012059,105600,MOSAIC COMMUNITY HEALTH,Lynch School-Based Health Center,1314 SW Kalama Ave RM B,Redmond,Deschutes,Federally Qualified Health Center (FQHC),Active,44.26660256,-121.18234802,2026-09-14
BPS-H80-012098,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,Willamina School Based Health Center,1100 NE Oaken Hills Dr,Willamina,Yamhill,Federally Qualified Health Center (FQHC),Active,45.08582999,-123.47550002,2026-09-14
BPS-H80-012101,102970,ROGUE COMMUNITY HEALTH,Ashland School Health Center,201 S Mountain Ave,Ashland,Jackson,Federally Qualified Health Center (FQHC),Active,42.19070626,-122.69958875,2026-09-14
BPS-H80-012345,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,Hillsboro School-Based Health Center,1998 SE Century Blvd,Hillsboro,Washington,Federally Qualified Health Center (FQHC),Active,45.50537098,-122.91482756,2026-09-14
BPS-H80-012393,100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School-Based Health Center at Crater High School,655 N 3rd St,Central Point,Jackson,Federally Qualified Health Center (FQHC),Active,42.37979215,-122.92112362,2026-09-14
BPS-H80-012395,105600,MOSAIC COMMUNITY HEALTH,Mobile Clinic,"375 NW Beaver St, Suite 101",Prineville,Crook,Federally Qualified Health Center (FQHC),Active,44.30361352,-120.84911582,2026-09-14
BPS-H80-012440,101120,Multnomah County,Billi Odegaard Dental Clinic,33 NW Broadway STE 380,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.52342602,-122.67749296,2026-09-14
BPS-H80-012592,10E00506,NEIGHBORHOOD HEALTH CENTER,NHC Oregon City Dental Clinic,19029 Beavercreek Rd,Oregon City,Clackamas,Federally Qualified Health Center (FQHC),Active,45.32947813,-122.5727615,2026-09-14
BPS-H80-012731,10E00507,OREGON HEALTH & SCIENCE UNIVERSITY,OHSU Richmond Immediate Care,"4212 SE Division St, Suite 150",Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.5049992,-122.61834623,2026-09-14
BPS-H80-013168,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,VIRGINIA GARCIA MEMORIAL HEALTH CENTER- NEWBERG,2251 E Hancock St STE 103,Newberg,Yamhill,Federally Qualified Health Center (FQHC),Active,45.30122747,-122.95663397,2026-09-14
BPS-H80-013473,101310,COUNTY OF CLACKAMAS,Sunnyside Health Center,"9775 SE Sunnyside Rd, Suite 200",Clackamas,Clackamas,Federally Qualified Health Center (FQHC),Active,45.43377,-122.56199997,2026-09-14
BPS-H80-013476,101310,COUNTY OF CLACKAMAS,Beavercreek Health Center,"110 Beavercreek Rd, Suite 100",Oregon City,Clackamas,Federally Qualified Health Center (FQHC),Active,45.33572558,-122.59907799,2026-09-14
BPS-H80-013746,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,Virginia Garcia Beaverton Dental Clinic,12600 SW Crescent St,Beaverton,Washington,Federally Qualified Health Center (FQHC),Active,45.49086346,-122.80675021,2026-09-14
BPS-H80-013804,100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School-Based Health Center at Scenic Middle School,1955 Scenic Ave,Central Point,Jackson,Federally Qualified Health Center (FQHC),Active,42.38637911,-122.92272289,2026-09-14
BPS-H80-013809,102970,ROGUE COMMUNITY HEALTH,Prospect Charter School,280 Mill Creek Dr,Prospect,Jackson,Federally Qualified Health Center (FQHC),Active,42.75199404,-122.4891091,2026-09-14
BPS-H80-013837,1014200,COUNTY OF LINCOLN,WALDPORT SCHOOL BASED HEALTH CENTER,3000 S Crestline Dr,Waldport,Lincoln,Federally Qualified Health Center (FQHC),Active,44.40403434,-124.06550518,2026-09-14
